villagecode,districtid,district,subcountyid,subcounty,parishid,parish,villageid,village
181010101,181,MAYUGE,01,BAITAMBOGWE,01,BUGODI,01,BUGODI A
181010102,181,MAYUGE,01,BAITAMBOGWE,01,BUGODI,02,BUGODI B
181010103,181,MAYUGE,01,BAITAMBOGWE,01,BUGODI,03,MUSITA B
181010104,181,MAYUGE,01,BAITAMBOGWE,01,BUGODI,04,NAWANGIRI
181010201,181,MAYUGE,01,BAITAMBOGWE,02,BUTTE,01,BUTE 'A'
181010202,181,MAYUGE,01,BAITAMBOGWE,02,BUTTE,02,BUTE 'B'
181010203,181,MAYUGE,01,BAITAMBOGWE,02,BUTTE,03,NALWESAMBULA A
181010204,181,MAYUGE,01,BAITAMBOGWE,02,BUTTE,04,NALWESAMBULA B
181010301,181,MAYUGE,01,BAITAMBOGWE,03,IGEYERO,01,IGEYERO A
181010302,181,MAYUGE,01,BAITAMBOGWE,03,IGEYERO,02,IGEYERO B
181010303,181,MAYUGE,01,BAITAMBOGWE,03,IGEYERO,03,MUKUTA
181010304,181,MAYUGE,01,BAITAMBOGWE,03,IGEYERO,04,WAGONA
181010401,181,MAYUGE,01,BAITAMBOGWE,04,KATONTE,01,BUWANGA 'A'
181010402,181,MAYUGE,01,BAITAMBOGWE,04,KATONTE,02,BUWANGA 'B'
181010403,181,MAYUGE,01,BAITAMBOGWE,04,KATONTE,03,KATONTE
181010404,181,MAYUGE,01,BAITAMBOGWE,04,KATONTE,04,NAMAGERA
181010501,181,MAYUGE,01,BAITAMBOGWE,05,LUGOLOLE,01,BAITAMBOGWE
181010502,181,MAYUGE,01,BAITAMBOGWE,05,LUGOLOLE,02,LUGOLOLE B
181010503,181,MAYUGE,01,BAITAMBOGWE,05,LUGOLOLE,03,LUGULOLE A
181010504,181,MAYUGE,01,BAITAMBOGWE,05,LUGOLOLE,04,MBIRIZI
181010601,181,MAYUGE,01,BAITAMBOGWE,06,LUKONE,01,LUKONE
181010602,181,MAYUGE,01,BAITAMBOGWE,06,LUKONE,02,MAGAMAGA
181010603,181,MAYUGE,01,BAITAMBOGWE,06,LUKONE,03,NSINDA
181010701,181,MAYUGE,01,BAITAMBOGWE,07,MULINGILIRE,01,BUBABWE
181010702,181,MAYUGE,01,BAITAMBOGWE,07,MULINGILIRE,02,IZINGA
181010703,181,MAYUGE,01,BAITAMBOGWE,07,MULINGILIRE,03,MULINGIRIRE
181010704,181,MAYUGE,01,BAITAMBOGWE,07,MULINGILIRE,04,MUSITA A
181010705,181,MAYUGE,01,BAITAMBOGWE,07,MULINGILIRE,05,NAMUSENWA
181010801,181,MAYUGE,01,BAITAMBOGWE,08,WAINHA,01,NABALONGO A
181010802,181,MAYUGE,01,BAITAMBOGWE,08,WAINHA,02,NABALONGO B
181010803,181,MAYUGE,01,BAITAMBOGWE,08,WAINHA,03,WAINHA 'A'
181010804,181,MAYUGE,01,BAITAMBOGWE,08,WAINHA,04,WAINHA 'B'
181020101,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,01,BUGADDE A
181020102,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,02,BUGADDE B
181020103,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,03,BUGADDE C
181020104,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,04,BUGADDE EAST
181020105,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,05,BUGADDE NORTH
181020106,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,06,BUGADDE WEST
181020107,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,07,BUGOYA
181020201,181,MAYUGE,02,BUGADDE TOWN COUNCIL,02,BUSENDA WARD,01,BUSENDA A
181020202,181,MAYUGE,02,BUGADDE TOWN COUNCIL,02,BUSENDA WARD,02,BUSENDA B
181020203,181,MAYUGE,02,BUGADDE TOWN COUNCIL,02,BUSENDA WARD,03,BUSENDA C
181020301,181,MAYUGE,02,BUGADDE TOWN COUNCIL,03,KITYERERA WARD,01,KITYERERA A
181020302,181,MAYUGE,02,BUGADDE TOWN COUNCIL,03,KITYERERA WARD,02,KITYERERA B
181020303,181,MAYUGE,02,BUGADDE TOWN COUNCIL,03,KITYERERA WARD,03,KITYERERA C
181020401,181,MAYUGE,02,BUGADDE TOWN COUNCIL,04,NAKIBENGO WARD,01,ITUBA A
181020402,181,MAYUGE,02,BUGADDE TOWN COUNCIL,04,NAKIBENGO WARD,02,ITUBA B
181020403,181,MAYUGE,02,BUGADDE TOWN COUNCIL,04,NAKIBENGO WARD,03,KIKOKOLI
181020404,181,MAYUGE,02,BUGADDE TOWN COUNCIL,04,NAKIBENGO WARD,04,NAKIBENGO
181030101,181,MAYUGE,03,BUKABOOLI,01,BUGOTO,01,BUGOTO A
181030102,181,MAYUGE,03,BUKABOOLI,01,BUGOTO,02,BUGOTO B
181030103,181,MAYUGE,03,BUKABOOLI,01,BUGOTO,03,BUTUMBULA
181030104,181,MAYUGE,03,BUKABOOLI,01,BUGOTO,04,KAKOGE
181030105,181,MAYUGE,03,BUKABOOLI,01,BUGOTO,05,KITUMBEZI
181030106,181,MAYUGE,03,BUKABOOLI,01,BUGOTO,06,LULANDA
181030107,181,MAYUGE,03,BUKABOOLI,01,BUGOTO,07,MUNYAZI
181030108,181,MAYUGE,03,BUKABOOLI,01,BUGOTO,08,MUSUBI
181030109,181,MAYUGE,03,BUKABOOLI,01,BUGOTO,09,NAMULULI
181030110,181,MAYUGE,03,BUKABOOLI,01,BUGOTO,10,NAWAMPONGO
181030201,181,MAYUGE,03,BUKABOOLI,02,BUGUMIA,01,BUDUMBA
181030202,181,MAYUGE,03,BUKABOOLI,02,BUGUMIA,02,KALIRO
181030203,181,MAYUGE,03,BUKABOOLI,02,BUGUMIA,03,KANYANA
181030204,181,MAYUGE,03,BUKABOOLI,02,BUGUMIA,04,KIRONGO A
181030205,181,MAYUGE,03,BUKABOOLI,02,BUGUMIA,05,KIRONGO B
181030206,181,MAYUGE,03,BUKABOOLI,02,BUGUMIA,06,MAKOOMA
181030207,181,MAYUGE,03,BUKABOOLI,02,BUGUMIA,07,NAKASUWA
181030301,181,MAYUGE,03,BUKABOOLI,03,BUKABOOLI,01,BUKABOOLI
181030302,181,MAYUGE,03,BUKABOOLI,03,BUKABOOLI,02,KALAGALA A
181030303,181,MAYUGE,03,BUKABOOLI,03,BUKABOOLI,03,KALAGALA B
181030304,181,MAYUGE,03,BUKABOOLI,03,BUKABOOLI,04,KIKUNYU
181030305,181,MAYUGE,03,BUKABOOLI,03,BUKABOOLI,05,NAMULWANA 'A'
181030306,181,MAYUGE,03,BUKABOOLI,03,BUKABOOLI,06,NAMULWANA 'B'
181030401,181,MAYUGE,03,BUKABOOLI,04,BUYUGU,01,BUSITEMA
181030402,181,MAYUGE,03,BUKABOOLI,04,BUYUGU,02,BUYUGU
181030403,181,MAYUGE,03,BUKABOOLI,04,BUYUGU,03,IGAYAZA
181030404,181,MAYUGE,03,BUKABOOLI,04,BUYUGU,04,KINAWAMBUZI
181030405,181,MAYUGE,03,BUKABOOLI,04,BUYUGU,05,MBALE
181030406,181,MAYUGE,03,BUKABOOLI,04,BUYUGU,06,NABYAMA
181030407,181,MAYUGE,03,BUKABOOLI,04,BUYUGU,07,NABYAMA BEACH
181030408,181,MAYUGE,03,BUKABOOLI,04,BUYUGU,08,NAMAKOKO
181030501,181,MAYUGE,03,BUKABOOLI,05,MATOVU,01,BUKANGA
181030502,181,MAYUGE,03,BUKABOOLI,05,MATOVU,02,MATOVU
181030503,181,MAYUGE,03,BUKABOOLI,05,MATOVU,03,NABIWERO
181030504,181,MAYUGE,03,BUKABOOLI,05,MATOVU,04,NAKIBAGO
181030601,181,MAYUGE,03,BUKABOOLI,06,MAYIRINYA,01,BUSIRA
181030602,181,MAYUGE,03,BUKABOOLI,06,MAYIRINYA,02,KASOZI
181030603,181,MAYUGE,03,BUKABOOLI,06,MAYIRINYA,03,KASOZI B
181030604,181,MAYUGE,03,BUKABOOLI,06,MAYIRINYA,04,LUWUTA
181030605,181,MAYUGE,03,BUKABOOLI,06,MAYIRINYA,05,LWANDERA
181030606,181,MAYUGE,03,BUKABOOLI,06,MAYIRINYA,06,MAIRINYA A
181030607,181,MAYUGE,03,BUKABOOLI,06,MAYIRINYA,07,MAIRINYA 'B'
181030608,181,MAYUGE,03,BUKABOOLI,06,MAYIRINYA,08,NAWANDEGEYI
181040101,181,MAYUGE,04,BUKATUBE,01,BUKALEBA,01,BUKALEBA
181040102,181,MAYUGE,04,BUKATUBE,01,BUKALEBA,02,NAKALANGA A
181040103,181,MAYUGE,04,BUKATUBE,01,BUKALEBA,03,NAKALANGA B
181040104,181,MAYUGE,04,BUKATUBE,01,BUKALEBA,04,NAMUGONGO
181040105,181,MAYUGE,04,BUKATUBE,01,BUKALEBA,05,WALUMBE BEACH
181040201,181,MAYUGE,04,BUKATUBE,02,BUYEMBA,01,BUBALAGALA
181040202,181,MAYUGE,04,BUKATUBE,02,BUYEMBA,02,BUKASERO A
181040203,181,MAYUGE,04,BUKATUBE,02,BUYEMBA,03,BUKASERO B
181040204,181,MAYUGE,04,BUKATUBE,02,BUYEMBA,04,BUYEMBA 'A'
181040205,181,MAYUGE,04,BUKATUBE,02,BUYEMBA,05,BUYEMBA 'B'
181040206,181,MAYUGE,04,BUKATUBE,02,BUYEMBA,06,LUUBU A
181040207,181,MAYUGE,04,BUKATUBE,02,BUYEMBA,07,LUUBU B
181040208,181,MAYUGE,04,BUKATUBE,02,BUYEMBA,08,MUGERI A
181040209,181,MAYUGE,04,BUKATUBE,02,BUYEMBA,09,MUGERI B
181040301,181,MAYUGE,04,BUKATUBE,03,LWANIKA,01,BUDHALA 'A'
181040302,181,MAYUGE,04,BUKATUBE,03,LWANIKA,02,BUDHALA 'B'
181040303,181,MAYUGE,04,BUKATUBE,03,LWANIKA,03,BUKATUBE 'A'
181040304,181,MAYUGE,04,BUKATUBE,03,LWANIKA,04,BUKATUBE B
181040305,181,MAYUGE,04,BUKATUBE,03,LWANIKA,05,BUTIMBWA
181040306,181,MAYUGE,04,BUKATUBE,03,LWANIKA,06,BUWOLOMERA
181040307,181,MAYUGE,04,BUKATUBE,03,LWANIKA,07,KAPALUKO
181040308,181,MAYUGE,04,BUKATUBE,03,LWANIKA,08,LUKINDU A
181040309,181,MAYUGE,04,BUKATUBE,03,LWANIKA,09,LUKINDU B
181040310,181,MAYUGE,04,BUKATUBE,03,LWANIKA,10,LWANIKA A
181040311,181,MAYUGE,04,BUKATUBE,03,LWANIKA,11,LWANIKA B
181040312,181,MAYUGE,04,BUKATUBE,03,LWANIKA,12,NDHOKERO A
181040313,181,MAYUGE,04,BUKATUBE,03,LWANIKA,13,NDHOKERO B
181040314,181,MAYUGE,04,BUKATUBE,03,LWANIKA,14,WAMONDO
181040401,181,MAYUGE,04,BUKATUBE,04,MAUTA,01,BUGULUMA
181040402,181,MAYUGE,04,BUKATUBE,04,MAUTA,02,BUYOKA
181040403,181,MAYUGE,04,BUKATUBE,04,MAUTA,03,KABUKI
181040404,181,MAYUGE,04,BUKATUBE,04,MAUTA,04,KYANDO
181040405,181,MAYUGE,04,BUKATUBE,04,MAUTA,05,MAUTA
181040501,181,MAYUGE,04,BUKATUBE,05,MBIRABIRA,01,BUFUTA A
181040502,181,MAYUGE,04,BUKATUBE,05,MBIRABIRA,02,BUFUTA B
181040503,181,MAYUGE,04,BUKATUBE,05,MBIRABIRA,03,BUGWANANDALA
181040504,181,MAYUGE,04,BUKATUBE,05,MBIRABIRA,04,BUWERERE
181040505,181,MAYUGE,04,BUKATUBE,05,MBIRABIRA,05,MASAKA
181040506,181,MAYUGE,04,BUKATUBE,05,MBIRABIRA,06,MBIRABIRA
181050101,181,MAYUGE,05,BUSAKIRA,01,BUKUNJA,01,BUKUNJA 'A'
181050102,181,MAYUGE,05,BUSAKIRA,01,BUKUNJA,02,BUKUNJA 'B'
181050103,181,MAYUGE,05,BUSAKIRA,01,BUKUNJA,03,BUSAALA
181050104,181,MAYUGE,05,BUSAKIRA,01,BUKUNJA,04,LUBALI
181050105,181,MAYUGE,05,BUSAKIRA,01,BUKUNJA,05,NAMISU 'A'
181050106,181,MAYUGE,05,BUSAKIRA,01,BUKUNJA,06,NAMISU 'B'
181050107,181,MAYUGE,05,BUSAKIRA,01,BUKUNJA,07,NAMISU C
181050201,181,MAYUGE,05,BUSAKIRA,02,BUTANGALA,01,BUBALI
181050202,181,MAYUGE,05,BUSAKIRA,02,BUTANGALA,02,BUGOYE
181050203,181,MAYUGE,05,BUSAKIRA,02,BUTANGALA,03,BUTANGALA 'A'
181050204,181,MAYUGE,05,BUSAKIRA,02,BUTANGALA,04,BUTANGALA 'B'
181050205,181,MAYUGE,05,BUSAKIRA,02,BUTANGALA,05,MUKONDA
181050206,181,MAYUGE,05,BUSAKIRA,02,BUTANGALA,06,NAMIRO
181050207,181,MAYUGE,05,BUSAKIRA,02,BUTANGALA,07,WAITA
181050301,181,MAYUGE,05,BUSAKIRA,03,KALUUBA,01,BUSAKIRA 'A'
181050302,181,MAYUGE,05,BUSAKIRA,03,KALUUBA,02,BUSAKIRA B
181050303,181,MAYUGE,05,BUSAKIRA,03,KALUUBA,03,BUSAKIRA 'C'
181050304,181,MAYUGE,05,BUSAKIRA,03,KALUUBA,04,BUSAKIRA 'D'
181050305,181,MAYUGE,05,BUSAKIRA,03,KALUUBA,05,KAFUMITA
181050306,181,MAYUGE,05,BUSAKIRA,03,KALUUBA,06,KALUUBA 'B'
181050307,181,MAYUGE,05,BUSAKIRA,03,KALUUBA,07,KALUUBA 'C'
181050308,181,MAYUGE,05,BUSAKIRA,03,KALUUBA,08,KAULUBA 'A'
181050401,181,MAYUGE,05,BUSAKIRA,04,MAUMU,01,BUSEERA B
181050402,181,MAYUGE,05,BUSAKIRA,04,MAUMU,02,BUYANIRWA
181050403,181,MAYUGE,05,BUSAKIRA,04,MAUMU,03,MAUMU A
181050404,181,MAYUGE,05,BUSAKIRA,04,MAUMU,04,MAUMU B
181050405,181,MAYUGE,05,BUSAKIRA,04,MAUMU,05,NAMWOBA
181050501,181,MAYUGE,05,BUSAKIRA,05,WAMBETE,01,BUSEERA 'A'
181050502,181,MAYUGE,05,BUSAKIRA,05,WAMBETE,02,BUSEERA 'C'
181050503,181,MAYUGE,05,BUSAKIRA,05,WAMBETE,03,MACHECHE
181050504,181,MAYUGE,05,BUSAKIRA,05,WAMBETE,04,WAMBETE 'A'
181050505,181,MAYUGE,05,BUSAKIRA,05,WAMBETE,05,WAMBETE 'B'
181060101,181,MAYUGE,06,BUWAAYA,01,BUWAISWA,01,BUBAGO
181060102,181,MAYUGE,06,BUWAAYA,01,BUWAISWA,02,BUWAAYA
181060103,181,MAYUGE,06,BUWAAYA,01,BUWAISWA,03,BUWAISWA
181060104,181,MAYUGE,06,BUWAAYA,01,BUWAISWA,04,NABUYAGI
181060105,181,MAYUGE,06,BUWAAYA,01,BUWAISWA,05,NTAFUNGIRWA
181060201,181,MAYUGE,06,BUWAAYA,02,BUWOLYA,01,BUWOLYA
181060202,181,MAYUGE,06,BUWAAYA,02,BUWOLYA,02,IVUGUNO
181060203,181,MAYUGE,06,BUWAAYA,02,BUWOLYA,03,IWUUBA
181060204,181,MAYUGE,06,BUWAAYA,02,BUWOLYA,04,KAKINDU
181060205,181,MAYUGE,06,BUWAAYA,02,BUWOLYA,05,NTINDA
181060301,181,MAYUGE,06,BUWAAYA,03,ISIIKIRO  ,01,BUKOOBA
181060302,181,MAYUGE,06,BUWAAYA,03,ISIIKIRO  ,02,IBANGA
181060303,181,MAYUGE,06,BUWAAYA,03,ISIIKIRO  ,03,ISIIKIRO  
181060304,181,MAYUGE,06,BUWAAYA,03,ISIIKIRO  ,04,KANYABWINA
181060305,181,MAYUGE,06,BUWAAYA,03,ISIIKIRO  ,05,KIKUBO
181060401,181,MAYUGE,06,BUWAAYA,04,KABAYINGIRE ,01,KABAYINGIRE 
181060402,181,MAYUGE,06,BUWAAYA,04,KABAYINGIRE ,02,NAKATE
181060403,181,MAYUGE,06,BUWAAYA,04,KABAYINGIRE ,03,NAMADHI
181060404,181,MAYUGE,06,BUWAAYA,04,KABAYINGIRE ,04,NAMATALE
181060405,181,MAYUGE,06,BUWAAYA,04,KABAYINGIRE ,05,NAWAVUBO
181060501,181,MAYUGE,06,BUWAAYA,05,NSANGO,01,BULONDO
181060502,181,MAYUGE,06,BUWAAYA,05,NSANGO,02,LUGANGU
181060503,181,MAYUGE,06,BUWAAYA,05,NSANGO,03,NABITTU
181060504,181,MAYUGE,06,BUWAAYA,05,NSANGO,04,NAMAGO
181060505,181,MAYUGE,06,BUWAAYA,05,NSANGO,05,NSANGO
181070101,181,MAYUGE,07,BWONDHA TOWN COUNCIL,01,BWONDHA CENTRAL,01,BWONDHA B
181070102,181,MAYUGE,07,BWONDHA TOWN COUNCIL,01,BWONDHA CENTRAL,02,BWONDHA CENTRAL
181070103,181,MAYUGE,07,BWONDHA TOWN COUNCIL,01,BWONDHA CENTRAL,03,BWONDHA D
181070201,181,MAYUGE,07,BWONDHA TOWN COUNCIL,02,BWONDHA SOUTH WARD,01,BWONDHA A
181070202,181,MAYUGE,07,BWONDHA TOWN COUNCIL,02,BWONDHA SOUTH WARD,02,BWONDHA EAST
181070203,181,MAYUGE,07,BWONDHA TOWN COUNCIL,02,BWONDHA SOUTH WARD,03,NABIDONGA
181070301,181,MAYUGE,07,BWONDHA TOWN COUNCIL,03,MAKONKO WARD,01,KAYANJA
181070302,181,MAYUGE,07,BWONDHA TOWN COUNCIL,03,MAKONKO WARD,02,KIYONJO
181070303,181,MAYUGE,07,BWONDHA TOWN COUNCIL,03,MAKONKO WARD,03,MAKONKO A
181070304,181,MAYUGE,07,BWONDHA TOWN COUNCIL,03,MAKONKO WARD,04,MAKONKO B
181070305,181,MAYUGE,07,BWONDHA TOWN COUNCIL,03,MAKONKO WARD,05,MIREMBE
181070401,181,MAYUGE,07,BWONDHA TOWN COUNCIL,04,MUSOMA WARD,01,BUKIMERA
181070402,181,MAYUGE,07,BWONDHA TOWN COUNCIL,04,MUSOMA WARD,02,MUSOMA
181070403,181,MAYUGE,07,BWONDHA TOWN COUNCIL,04,MUSOMA WARD,03,NAKAWA
181070501,181,MAYUGE,07,BWONDHA TOWN COUNCIL,05,NALUBABWE,01,BWONDHA C
181070502,181,MAYUGE,07,BWONDHA TOWN COUNCIL,05,NALUBABWE,02,MULOWOZA
181070503,181,MAYUGE,07,BWONDHA TOWN COUNCIL,05,NALUBABWE,03,NALUBABWE A
181070504,181,MAYUGE,07,BWONDHA TOWN COUNCIL,05,NALUBABWE,04,NALUBABWE B
181070601,181,MAYUGE,07,BWONDHA TOWN COUNCIL,06,NKALANJA WARD,01,BWONDHA CENTRAL MARKET
181070602,181,MAYUGE,07,BWONDHA TOWN COUNCIL,06,NKALANJA WARD,02,NKALANGA A
181070603,181,MAYUGE,07,BWONDHA TOWN COUNCIL,06,NKALANJA WARD,03,NKALANGA B
181070604,181,MAYUGE,07,BWONDHA TOWN COUNCIL,06,NKALANJA WARD,04,VICTORIAL
181080101,181,MAYUGE,08,IMANYIRO,01,BUFULUBI,01,BUFULUBI A
181080102,181,MAYUGE,08,IMANYIRO,01,BUFULUBI,02,BUFULUBI B
181080103,181,MAYUGE,08,IMANYIRO,01,BUFULUBI,03,BUKOMYA
181080104,181,MAYUGE,08,IMANYIRO,01,BUFULUBI,04,BUVUNA
181080105,181,MAYUGE,08,IMANYIRO,01,BUFULUBI,05,KISULE
181080106,181,MAYUGE,08,IMANYIRO,01,BUFULUBI,06,LWABALA
181080107,181,MAYUGE,08,IMANYIRO,01,BUFULUBI,07,NAKIWATA
181080201,181,MAYUGE,08,IMANYIRO,02,MAGADA,01,BULYAMPINDI
181080202,181,MAYUGE,08,IMANYIRO,02,MAGADA,02,LUYIRA
181080203,181,MAYUGE,08,IMANYIRO,02,MAGADA,03,MAGADA
181080204,181,MAYUGE,08,IMANYIRO,02,MAGADA,04,NAMADUDU
181080205,181,MAYUGE,08,IMANYIRO,02,MAGADA,05,NAMAKAKALE
181080206,181,MAYUGE,08,IMANYIRO,02,MAGADA,06,WALUGOGO
181080207,181,MAYUGE,08,IMANYIRO,02,MAGADA,07,WANTE
181080301,181,MAYUGE,08,IMANYIRO,03,MAYUGE,01,BUDHEBERA
181080302,181,MAYUGE,08,IMANYIRO,03,MAYUGE,02,BUKAWONGO
181080303,181,MAYUGE,08,IMANYIRO,03,MAYUGE,03,BWIWULA
181080304,181,MAYUGE,08,IMANYIRO,03,MAYUGE,04,LUWANULA
181080305,181,MAYUGE,08,IMANYIRO,03,MAYUGE,05,MATUBA
181080401,181,MAYUGE,08,IMANYIRO,04,MBAALE,01,IGUNDA
181080402,181,MAYUGE,08,IMANYIRO,04,MBAALE,02,IMANYIRO
181080403,181,MAYUGE,08,IMANYIRO,04,MBAALE,03,KAKUNU
181080404,181,MAYUGE,08,IMANYIRO,04,MBAALE,04,MAGUNGA
181080405,181,MAYUGE,08,IMANYIRO,04,MBAALE,05,MBAALE
181080406,181,MAYUGE,08,IMANYIRO,04,MBAALE,06,NAMWOGI
181080407,181,MAYUGE,08,IMANYIRO,04,MBAALE,07,WANSWA
181080501,181,MAYUGE,08,IMANYIRO,05,NKOMBE,01,KITOVU
181080502,181,MAYUGE,08,IMANYIRO,05,NKOMBE,02,KYANDAILE
181080503,181,MAYUGE,08,IMANYIRO,05,NKOMBE,03,LWANDA
181080504,181,MAYUGE,08,IMANYIRO,05,NKOMBE,04,NAKABALE
181080505,181,MAYUGE,08,IMANYIRO,05,NKOMBE,05,NKOMBE 'A'
181080506,181,MAYUGE,08,IMANYIRO,05,NKOMBE,06,NKOMBE 'B'
181090101,181,MAYUGE,09,JAGUZI,01,BUMBA,01,BUKABAMBWE
181090102,181,MAYUGE,09,JAGUZI,01,BUMBA,02,BUYAKO BEACH
181090103,181,MAYUGE,09,JAGUZI,01,BUMBA,03,BUYAKO VILLAGE
181090104,181,MAYUGE,09,JAGUZI,01,BUMBA,04,GALILAYA
181090201,181,MAYUGE,09,JAGUZI,02,JAGUZI,01,BUSABALA A
181090202,181,MAYUGE,09,JAGUZI,02,JAGUZI,02,BUSABALA B
181090203,181,MAYUGE,09,JAGUZI,02,JAGUZI,03,BWAYA/BUKEMBO
181090204,181,MAYUGE,09,JAGUZI,02,JAGUZI,04,GOOLI A
181090205,181,MAYUGE,09,JAGUZI,02,JAGUZI,05,GOOLI B
181090206,181,MAYUGE,09,JAGUZI,02,JAGUZI,06,KAZIRU
181090207,181,MAYUGE,09,JAGUZI,02,JAGUZI,07,MUBEMBE
181090208,181,MAYUGE,09,JAGUZI,02,JAGUZI,08,MUSOMA
181090209,181,MAYUGE,09,JAGUZI,02,JAGUZI,09,NABUKALU A
181090210,181,MAYUGE,09,JAGUZI,02,JAGUZI,10,NABUKALU B
181090301,181,MAYUGE,09,JAGUZI,03,KAAZA,01,KAAZA A
181090302,181,MAYUGE,09,JAGUZI,03,KAAZA,02,KAAZA B
181090303,181,MAYUGE,09,JAGUZI,03,KAAZA,03,SIMWE ISLAND
181090401,181,MAYUGE,09,JAGUZI,04,MASOLYA,01,MASOLYA 'A'
